date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:50	20698/20698	---M-Z	200	added ('OK')	text/html	etag:%2237c14ae-50da-600397e8a1498-gzip%22	https://pedajuda.com.br/index.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/index.html	(from )
16:55:50	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Aug%202023%2019:55:52%20GMT	https://pedajuda.com.br/robots.txt		(from )
16:55:51	9064/9064	---M--	200	added ('OK')	image/png	etag:%2237c1570-2368-600398a805551%22	https://pedajuda.com.br/assets/imagens/favicon.png	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/imagens/favicon.png	(from https://pedajuda.com.br/index.html)
16:55:51	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2237c1564-22688-6003988fffa64-gzip%22	https://pedajuda.com.br/assets/css/bootstrap.min.css	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/css/bootstrap.min.css	(from https://pedajuda.com.br/index.html)
16:55:52	54456/54456	---M-Z	200	added ('OK')	text/css	etag:%2237c156a-d4b8-600398902c925-gzip%22	https://pedajuda.com.br/assets/css/fontawesome.css	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/css/fontawesome.css	(from https://pedajuda.com.br/index.html)
16:55:52	77757/77757	---M-Z	200	added ('OK')	text/css	etag:%2237c1562-12fbd-6003988f3fff9-gzip%22	https://pedajuda.com.br/assets/css/animated.css	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/css/animated.css	(from https://pedajuda.com.br/index.html)
16:55:52	70958/70958	---M-Z	200	added ('OK')	text/css	etag:%2237c1569-1152e-6003988ff891c-gzip%22	https://pedajuda.com.br/assets/css/estilo.css	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/css/estilo.css	(from https://pedajuda.com.br/index.html)
16:55:52	6062/6062	---M--	200	added ('OK')	image/png	etag:%2237c1572-17ae-600398a876203%22	https://pedajuda.com.br/assets/imagens/logo.png	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/imagens/logo.png	(from https://pedajuda.com.br/index.html)
16:55:53	14775/14775	---M-Z	200	added ('OK')	text/html	etag:%2237c14c2-39b7-600397e984184-gzip%22	https://pedajuda.com.br/sobre-projeto.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/sobre-projeto.html	(from https://pedajuda.com.br/index.html)
16:55:53	14265/14265	---M-Z	200	added ('OK')	text/html	etag:%2237c14ac-37b9-600397e86307f-gzip%22	https://pedajuda.com.br/contato.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/contato.html	(from https://pedajuda.com.br/index.html)
16:55:53	882/882	---M--	200	added ('OK')	image/svg+xml	etag:%2237c156d-372-600398a803611%22	https://pedajuda.com.br/assets/imagens/header-bg.svg	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/imagens/header-bg.svg	(from https://pedajuda.com.br/index.html)
16:55:53	19602/19602	---M-Z	200	added ('OK')	text/html	etag:%2237c14be-4c92-600397e93ffab-gzip%22	https://pedajuda.com.br/pesquisar.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/pesquisar.html	(from https://pedajuda.com.br/index.html)
16:55:54	9021/9021	---M-Z	200	added ('OK')	text/html	etag:%2237c14af-233d-600397e8a3ba8-gzip%22	https://pedajuda.com.br/lista-antibioticos.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-antibioticos.html	(from https://pedajuda.com.br/index.html)
16:55:54	7722/7722	---M-Z	200	added ('OK')	text/html	etag:%2237c14b0-1e2a-600397e8a8db0-gzip%22	https://pedajuda.com.br/lista-anticonvulsionantes.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-anticonvulsionantes.html	(from https://pedajuda.com.br/index.html)
16:55:54	7852/7852	---M-Z	200	added ('OK')	text/html	etag:%2237c14b8-1eac-600397e8f3902-gzip%22	https://pedajuda.com.br/lista-antiinflamatorios.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-antiinflamatorios.html	(from https://pedajuda.com.br/index.html)
16:55:54	7792/7792	---M-Z	200	added ('OK')	text/html	etag:%2237c14b6-1e70-600397e8e910a-gzip%22	https://pedajuda.com.br/lista-antifungicos.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-antifungicos.html	(from https://pedajuda.com.br/index.html)
16:55:55	7926/7926	---M-Z	200	added ('OK')	text/html	etag:%2237c14b7-1ef6-600397e8eeeca-gzip%22	https://pedajuda.com.br/lista-antihistaminicos.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-antihistaminicos.html	(from https://pedajuda.com.br/index.html)
16:55:55	15673/15673	---M-Z	200	added ('OK')	text/html	etag:%2237c14b9-3d39-600397e91c172-gzip%22	https://pedajuda.com.br/lista-antiparasitarios.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-antiparasitarios.html	(from https://pedajuda.com.br/index.html)
16:55:55	7975/7975	---M-Z	200	added ('OK')	text/html	etag:%2237c14ba-1f27-600397e920baa-gzip%22	https://pedajuda.com.br/lista-broncodilatadores.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-broncodilatadores.html	(from https://pedajuda.com.br/index.html)
16:55:55	10598/10598	---M--	200	added ('OK')	image/png	etag:%2237c156e-2966-600398a8039f9%22	https://pedajuda.com.br/assets/imagens/box-broncodilatadores.png	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/imagens/box-broncodilatadores.png	(from https://pedajuda.com.br/index.html)
16:55:56	310407/310407	---M--	200	added ('OK')	image/jpeg	etag:%2237c1571-4bc87-600398a872b53%22	https://pedajuda.com.br/assets/imagens/header.jpg	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/imagens/header.jpg	(from https://pedajuda.com.br/index.html)
16:55:56	7726/7726	---M-Z	200	added ('OK')	text/html	etag:%2237c14bb-1e2e-600397e920f92-gzip%22	https://pedajuda.com.br/lista-corticosteroides.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-corticosteroides.html	(from https://pedajuda.com.br/index.html)
16:55:56	7450/7450	---M-Z	200	added ('OK')	text/html	etag:%2237c14bc-1d1a-600397e930d7b-gzip%22	https://pedajuda.com.br/lista-laxativos.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-laxativos.html	(from https://pedajuda.com.br/index.html)
16:55:57	8524/8524	---M-Z	200	added ('OK')	text/html	etag:%2237c14bd-214c-600397e93ada3-gzip%22	https://pedajuda.com.br/lista-sintomaticos.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/lista-sintomaticos.html	(from https://pedajuda.com.br/index.html)
16:55:57	27423/27423	---M-Z	200	added ('OK')	text/html	etag:%2237c14a8-6b1f-600397e81b026-gzip%22	https://pedajuda.com.br/calc-hidratacaovenosa.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/calc-hidratacaovenosa.html	(from https://pedajuda.com.br/index.html)
16:55:57	20219/20219	---M-Z	200	added ('OK')	text/html	etag:%2237c14bf-4efb-600397e9645b4-gzip%22	https://pedajuda.com.br/puericultura-alimentacao.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/puericultura-alimentacao.html	(from https://pedajuda.com.br/index.html)
16:55:57	3296/3296	---M--	200	added ('OK')	image/png	etag:%2237c1579-ce0-600398a8c019c%22	https://pedajuda.com.br/assets/imagens/puericultura-icone3.png	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/imagens/puericultura-icone3.png	(from https://pedajuda.com.br/index.html)
16:55:58	24027/24027	---M-Z	200	added ('OK')	text/html	etag:%2237c14c0-5ddb-600397e96edac-gzip%22	https://pedajuda.com.br/puericultura-curvas.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/puericultura-curvas.html	(from https://pedajuda.com.br/index.html)
16:55:58	3341/3341	---M--	200	added ('OK')	image/png	etag:%2237c1577-d0d-600398a8bee14%22	https://pedajuda.com.br/assets/imagens/puericultura-icone2.png	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/imagens/puericultura-icone2.png	(from https://pedajuda.com.br/index.html)
16:55:58	27197/27197	---M-Z	200	added ('OK')	text/html	etag:%2237c14c4-6a3d-600397e9a0a8d-gzip%22	https://pedajuda.com.br/puericultura-suplementacao.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/puericultura-suplementacao.html	(from https://pedajuda.com.br/index.html)
16:55:58	3375/3375	---M--	200	added ('OK')	image/png	etag:%2237c1575-d2f-600398a87d34b%22	https://pedajuda.com.br/assets/imagens/puericultura-icone1.png	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/imagens/puericultura-icone1.png	(from https://pedajuda.com.br/index.html)
16:55:58	23730/23730	---M-Z	200	added ('OK')	text/html	etag:%2237c14c1-5cb2-600397e97cc54-gzip%22	https://pedajuda.com.br/puericultura-vacinas.html	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/puericultura-vacinas.html	(from https://pedajuda.com.br/index.html)
16:55:59	3758/3758	---M--	200	added ('OK')	image/png	etag:%2237c157b-eae-600398a8cd0a4%22	https://pedajuda.com.br/assets/imagens/puericultura-icone4.png	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/imagens/puericultura-icone4.png	(from https://pedajuda.com.br/index.html)
16:55:59	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%2237c155a-1538f-6003987dd9e11-gzip%22	https://pedajuda.com.br/assets/js/jquery.js	C:/Meus%20Sites/PedAjuda_Me/pedajuda.com.br/assets/js/jquery.js	(from https://pedajuda.com.br/index.html)
